Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C_Polarized","CP_Radial_D5.0mm_P2.50mm",107.642500,-72.260000,0.000000,top
"C2","C_Polarized","CP_Radial_D5.0mm_P2.50mm",97.437387,-72.260000,0.000000,top
"C3","C","C_Disc_D3.0mm_W1.6mm_P2.50mm",98.500000,-104.500000,180.000000,top
"D1","LED","LED_D5.0mm",107.867500,-84.260000,0.000000,top
"DS1","WC1602A","WC1602A",66.357500,-72.500000,-90.000000,top
"J1","Conn_01x04","LCD-016N002L",160.500000,-103.000000,-90.000000,top
"R1","R","R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal",95.380000,-94.500000,0.000000,top
"R2","R","R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal",110.620000,-117.500000,180.000000,top
"R3","R","R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal",95.380000,-112.000000,0.000000,top
"RV1","R_Potentiometer","Potentiometer_Piher_PT-10-V10_Vertical",80.350000,-68.000000,-90.000000,top
"U1","ATmega328P-P","DIP-28_W7.62mm",79.000000,-84.880000,0.000000,top
"U2","L7805","TO-220F-4_P5.08x2.05mm_StaggerEven_Lead1.85mm_Vertical",97.142500,-87.340000,90.000000,top
"U3","LM317L_SOT-89","SOT-89-3",105.500000,-103.000000,90.000000,top
